product_id,name,category,subcategory,brand,price,currency,description,rating,stock,attributes,use_cases
HP001,SoundMax Air Pro,Electronics,Headphones,AudioTech,2499,INR,Wireless headphones designed for everyday listening and communication.,4.5,25,"{""battery_hours"":40,""noise_cancellation"":true,""microphone_quality"":""excellent"",""wireless"":true}","[""music"",""travel"",""online classes""]"
HP002,QuietRide ANC,Electronics,Headphones,AudioTech,2999,INR,Wireless headphones designed for everyday listening and communication.,4.7,12,"{""battery_hours"":35,""noise_cancellation"":true,""microphone_quality"":""excellent"",""wireless"":true}","[""music"",""travel"",""online classes""]"
HP003,BeatFlow Lite,Electronics,Headphones,AudioTech,1799,INR,Wireless headphones designed for everyday listening and communication.,4.2,40,"{""battery_hours"":30,""noise_cancellation"":false,""microphone_quality"":""good"",""wireless"":true}","[""music"",""travel"",""online classes""]"
HP004,TravelPods Max,Electronics,Headphones,AudioTech,2699,INR,Wireless headphones designed for everyday listening and communication.,4.5,20,"{""battery_hours"":45,""noise_cancellation"":true,""microphone_quality"":""good"",""wireless"":true}","[""music"",""travel"",""online classes""]"
HP005,ClearTalk Air,Electronics,Headphones,AudioTech,1999,INR,Wireless headphones designed for everyday listening and communication.,4.3,35,"{""battery_hours"":29,""noise_cancellation"":false,""microphone_quality"":""excellent"",""wireless"":true}","[""music"",""travel"",""online classes""]"
PH001,Nova X5,Electronics,Smartphones,TechNova,18999,INR,"5G smartphone with modern performance, camera and long battery life.",4.4,30,"{""battery_mah"":5000,""camera_mp"":50,""ram_gb"":8,""storage_gb"":128,""5g"":true}","[""photography"",""gaming"",""daily use"",""social media""]"
PH002,PixelWave Pro,Electronics,Smartphones,TechNova,22999,INR,"5G smartphone with modern performance, camera and long battery life.",4.6,18,"{""battery_mah"":5200,""camera_mp"":48,""ram_gb"":12,""storage_gb"":256,""5g"":true}","[""photography"",""gaming"",""daily use"",""social media""]"
PH003,CorePhone Lite,Electronics,Smartphones,TechNova,14999,INR,"5G smartphone with modern performance, camera and long battery life.",4.2,45,"{""battery_mah"":5000,""camera_mp"":42,""ram_gb"":6,""storage_gb"":128,""5g"":true}","[""photography"",""gaming"",""daily use"",""social media""]"
PH004,VisionMax 5G,Electronics,Smartphones,TechNova,27999,INR,"5G smartphone with modern performance, camera and long battery life.",4.7,15,"{""battery_mah"":5100,""camera_mp"":50,""ram_gb"":12,""storage_gb"":256,""5g"":true}","[""photography"",""gaming"",""daily use"",""social media""]"
PH005,SmartOne S,Electronics,Smartphones,TechNova,19999,INR,"5G smartphone with modern performance, camera and long battery life.",4.3,28,"{""battery_mah"":5000,""camera_mp"":108,""ram_gb"":8,""storage_gb"":128,""5g"":true}","[""photography"",""gaming"",""daily use"",""social media""]"
