product_id,name,category,price,currency,description,rating,stock,battery_hours,noise_cancellation,microphone_quality,use_case,image_url,product_url
P001,SoundMax Air Pro,wireless headphones,2499,INR,Wireless headphones with long battery life and comfortable ear cushions,4.5,25,40.0,yes,excellent,"travel,online classes,gaming",,
P002,BeatFlow Lite,wireless headphones,1799,INR,Lightweight wireless headphones with balanced sound and good battery,4.2,40,30.0,no,good,"travel,music,online classes",,
P003,GamePulse X1,gaming headphones,2899,INR,Low latency gaming headphones with surround sound and clear microphone,4.6,15,25.0,no,excellent,"gaming,online classes",,
P004,QuietRide ANC,wireless headphones,2999,INR,Wireless headphones with active noise cancellation and premium comfort,4.7,12,35.0,yes,excellent,"travel,music,online classes",,
P005,BassBeat 500,wireless headphones,1499,INR,Affordable wireless headphones with strong bass and decent battery,4.0,50,24.0,no,average,"music,travel",,
P006,StudioSound Pro,wireless headphones,3499,INR,Premium wireless headphones designed for music and long listening sessions,4.6,18,42.0,yes,excellent,"music,travel",,
P007,TravelPods Max,wireless headphones,2699,INR,Long battery wireless headphones designed for travel,4.5,20,45.0,yes,good,"travel,music",,
P008,GameStorm 7,gaming headphones,3199,INR,Gaming headset with low latency audio and powerful microphone,4.4,22,28.0,no,excellent,"gaming,streaming",,
P009,MusicBeat Pro,wireless headphones,2299,INR,Balanced wireless headphones with rich sound and comfortable cushions,4.3,32,36.0,no,good,"music,travel",,
P010,ClearTalk Air,wireless headphones,1999,INR,Wireless headphones with clear microphone for calls and online classes,4.3,35,29.0,no,excellent,"online classes,meetings,travel",,
PH001,Nova X5,smartphones,18999,INR,5G smartphone with 50MP camera and 8GB RAM,4.4,30,,,,"photography,gaming,everyday use",,
PH002,UltraPhone Pro,smartphones,24999,INR,Premium 5G smartphone with 64MP camera and 12GB RAM,4.6,18,,,,"photography,gaming",,
PH003,CorePhone Lite,smartphones,14999,INR,Affordable 5G smartphone with 42MP camera and 6GB RAM,4.2,45,,,,"everyday use,students",,
PH004,PixelView A1,smartphones,17999,INR,5G smartphone focused on photography and battery life,4.5,27,,,,"photography,travel",,
PH005,SmartOne S,smartphones,19999,INR,5G smartphone with 108MP camera and 8GB RAM,4.3,28,,,,"photography,gaming",,
PH006,PowerPhone 12,smartphones,16999,INR,Long battery smartphone with 5000mAh battery,4.2,35,,,,"travel,everyday use",,
PH007,GamePhone GT,smartphones,21999,INR,Gaming smartphone with high performance processor and 12GB RAM,4.5,20,,,,"gaming,entertainment",,
PH008,VisionMax 8,smartphones,27999,INR,Premium smartphone with high resolution camera and 256GB storage,4.7,15,,,,"photography,content creation",,
PH009,StudentPhone Z,smartphones,12999,INR,Affordable smartphone for students and everyday use,4.1,50,,,,"students,everyday use",,
PH010,SnapPro 5G,smartphones,19999,INR,5G camera smartphone with 50MP sensor and 256GB storage,4.4,24,,,,"photography,travel",,
LP001,UltraWork 14,laptops,59999,INR,14-inch laptop with 16GB RAM and Core i5 processor,4.6,15,10.0,,,"coding,office,students",,
LP002,CodeBook 14,laptops,54999,INR,Developer laptop with 16GB RAM and Core i7 processor,4.7,12,12.0,,,"coding,development",,
LP003,StudentBook Air,laptops,42999,INR,Affordable laptop for students with 8GB RAM,4.3,25,11.0,,,"students,office",,
LP004,PowerBook Pro,laptops,69999,INR,High performance laptop with 16GB RAM and Ryzen 7 processor,4.8,10,8.0,,,"coding,development,gaming",,
LP005,WorkMate 15,laptops,48999,INR,Reliable laptop for office work with 16GB RAM,4.4,22,10.0,,,"office,students",,
LP006,DevMaster X,laptops,74999,INR,Developer laptop with 16GB RAM and 1TB storage,4.8,8,9.0,,,"coding,development",,
LP007,LightBook 13,laptops,51999,INR,Lightweight laptop with long battery life,4.5,18,13.0,,,"students,travel,office",,
