transaction_id,timestamp,amount,customer_id,merchant_id,payment_method,device_id,location,status,fraud_label
TX001,2026-08-20 10:01:00,500,C001,M001,UPI,D001,Hyderabad,success,0
TX002,2026-08-20 10:03:00,1200,C002,M001,UPI,D002,Hyderabad,success,0
TX003,2026-08-20 10:05:00,25000,C003,M002,Card,D003,Mumbai,success,1
TX004,2026-08-20 10:07:00,700,C004,M001,UPI,D004,Delhi,success,0
TX005,2026-08-20 10:08:00,30000,C005,M003,Card,D005,Chennai,success,1
TX006,2026-08-20 10:10:00,450,C006,M001,UPI,D006,Hyderabad,success,0
TX007,2026-08-20 10:12:00,28000,C007,M003,Card,D007,Bangalore,success,1
TX008,2026-08-20 10:14:00,650,C008,M002,UPI,D008,Delhi,success,0
TX009,2026-08-20 10:16:00,32000,C009,M003,Card,D009,Mumbai,success,1
TX010,2026-08-20 10:18:00,800,C010,M001,UPI,D010,Hyderabad,success,0
